title,author,category,price,publicationYear,description,imageUrl
Lâu Đài Bay Của Pháp Sư Howl (Tái Bản 2020),Diana Wynne Jones,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,63600,2000,,https://salt.tikicdn.com/ts/product/19/57/d2/f8e8ac1e83c74d24ef57d5e1a8194be7.jpg
Sapiens Lược Sử Loài Người (Tái Bản 2022),Yuval Noah Harari,Lịch Sử Thế Giới,191000,2000,,https://salt.tikicdn.com/ts/product/54/44/ec/20755ddad37cc1e7477f9a98aed12c77.jpg
Nàng Tóc Đỏ (Nobel Văn Chương 2006),,Tác phẩm kinh điển,66000,2000,,https://salt.tikicdn.com/ts/product/3d/3e/d8/bdc5a3edcd4ecd6bb91895ffb67cbe11.jpg
"Basic Economics: Kinh tế học cơ bản, a bờ cờ, kinh tế học nhập môn cho nhà đầu tư",Thomas Sowell,"Sách tài chính, tiền tệ",569000,2000,,https://salt.tikicdn.com/ts/product/13/63/d3/060916b287c4818f52386d82ec47a2cf.jpg
Hồ Sơ Tâm Lý Học Tâm Thần Hay Kẻ Điên,Mục Qua,Kiến Thức Bách Khoa,116180,2000,,https://salt.tikicdn.com/ts/product/b4/d6/9b/f5c06da78ec0835152a5eaa37f15cfb8.jpg
Tôn Tử Binh Pháp ( Tái Bản ),Tôn Tử,Kiến Thức Bách Khoa,45600,2000,,https://salt.tikicdn.com/ts/product/ee/10/85/c6baa8f0f71ebf5dd5a4f35657ffccf3.jpg
Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),Song Hong Bing,"Sách tài chính, tiền tệ",116000,2000,,https://salt.tikicdn.com/ts/product/c2/3a/64/feedafb39c7bc93f49277bef45f618d4.jpg
Gỗ Thần,Lưu Khánh Bang,Truyện trinh thám,67150,2000,,https://salt.tikicdn.com/ts/product/e7/61/3a/985d5ad2db9a3966a9013420954703d0.jpg
How The Body Works - Hiểu Hết Về Cơ Thể,Phạm Hằng Nguyên,How The Body Works - Hiểu Hết Về Cơ Thể,180000,2000,,https://salt.tikicdn.com/ts/product/b8/db/b7/7827a39c17b68337b093de7850fc3337.jpg
Nhà Đầu Tư Thông Minh (Tái Bản 2020),Benjamin Graham,Sách kỹ năng làm việc,119400,2000,,https://salt.tikicdn.com/ts/product/e2/bb/a0/cefa8cc641e90ccc6c32d81008ecff98.jpg
Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),GEORGE SAMUEL CLASON,Bài học kinh doanh,64600,2000,,https://salt.tikicdn.com/media/catalog/producttmp/bc/e6/66/58b5c0c29a0bf405043d76111b254363.jpg
Đi khi ta còn trẻ,Trương Anh Ngọc,Tiểu sử - Hồi ký,72000,2000,,https://salt.tikicdn.com/ts/product/15/ec/9a/41b8847a26fda2ea02440becad908776.jpg
Franken-Stein Ở Baghdad,Ahmed Saadawi,Tiểu Thuyết,59200,2000,,https://salt.tikicdn.com/ts/product/d9/8b/7a/77ab2a7bfd0d048965be10f31b2eda12.jpg
Thợ Xăm Ở Auschwitz,Heather Morris,Tiểu Thuyết,88800,2000,,https://salt.tikicdn.com/ts/product/8e/5d/2d/c2a6038dd7f55a9295164e88c152f424.jpg
Đắc Nhân Tâm (Bìa Mềm)(Tái Bản),Dale Carnegie,Sách nghệ thuật sống đẹp,56700,2000,,https://salt.tikicdn.com/media/catalog/producttmp/44/24/18/3a611412495a443df6b5c236bfb723a3.jpg
Khoa Học Về Nấu Ăn - The Science Of Cooking,Stuart Farrimond,Sách Nấu ăn,210000,2000,,https://salt.tikicdn.com/ts/product/15/d4/d5/70ad904b07a46853d61af141185078f5.jpg
Chuyện Đi Làm Hết Lòng,Na Lê,Sách nghệ thuật sống đẹp,116000,2000,,https://salt.tikicdn.com/ts/product/8c/29/9c/4947bec1c2181534beaceceac527c03d.jpg
Luật Hấp Dẫn - Quy Luật Về Sức Mạnh Của Linh Hồn Và Năng Lượng Chữa Lành Cơ Thể Từ Bên Trong,Prentice Mulford,Sách tư duy - Kỹ năng sống,90200,2000,,https://salt.tikicdn.com/ts/product/16/7f/b4/3acce05b023d7b7d2ede09ffeed93077.jpg
Người bà tài giỏi vùng Saga – Tập 9,Yoshichi Shimada,Người bà tài giỏi vùng Saga – Tập 9,43000,2000,,https://salt.tikicdn.com/ts/product/82/79/23/5c523ab19fbf15d457766c9c74160268.jpg
"Trong Cái Không Có  Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",Thích Nhất Hạnh,Sách nghệ thuật sống đẹp,130000,2000,,https://salt.tikicdn.com/media/catalog/producttmp/2f/98/3b/886c5c62535c8877d9c65c40c19a0947.jpg
Payback Time - Ngày Đòi Nợ,Phil Town,Bài học kinh doanh,299000,2000,,https://salt.tikicdn.com/ts/product/64/cd/ba/c12f6fca49de9767c6c167c0030f7985.png
